GO	genes
organelle fission	lwr;Rab5;oaf;Drp1;Bub1;Cap-D3;tomb;Lam;ifc;Rca1;SA;cdc14;mtsh;aust;borr;Cks30A;pelo;pim;Nup154;cmet;cana;CycE;CG18109;twe;Syx5;fzy;grp;glu;CG5755;Grip71;gammaTub37C;RanGAP;Top2;barr;RPA2;Mcm10;Nipped-B;BubR1;Mob4;Eb1;Incenp;scra;dpn;CG33474;san;Mtor;pds5;wuc;sca;Cap-G;cnn;cid;LamC;Su(var)2-HP2;Arf51F;dup;SRPK;tef;sub;thr;prod;Topors;Rae1;CycB;ord;bgcn;fzr2;Pgam5-2;wac;fwd;SA-2;alphaCOP;Non2;aly;CycJ;RfC4;pav;ago;Dhc64C;mad2;ssp6;Mis12;mei-P22;eco;CG7716;mtrm;Klp67A;alphaTub67C;RasGAP1;nudE;can;JIL-1;CycA;vih;sti;Syx13;endos;RecQ5;polo;trbl;knrl;kni;chb;park;sa;Rpn10;mael;Arf79F;Chro;vtd;tacc;Hus1-like;Kat60;mia;alphaTub84B;Sas-4;lds;Cenp-C;bel;dmt;hyd;alphaTub85E;topi;tws;Mcm5;Blm;Spc25;CG9286;eff;spn-E;msps;sra;cal1;14-3-3epsilon;gwl;nos;Synd;Rab11;slmb;Rab1;mod(mdg4);bond;Cdc16;eIF4G2;spas;CycB3;Mink;ball;larp;yem;Slbp;Bub3;ncd;gammaCOP;CycG;ase;Rbf;mus81;east;ph-p;wapl;Klp3A;Zw10;dhd;APC7;Sxl;Moe;nej;Hmr;Klp10A;nod;bif;wisp;mud;Grip128;Myb;CycD;Pp2B-14D;Rok;mei-218;CG8188;CG12200;Grip84;Mer
peptidyl-amino acid modification	CG11023;CG17075;lwr;CG3515;CG9962;CG3277;msl-2;CG3964;Art2;Ncoa6;lid;CG9098;Ddr;CG34345;TTLL3A;CG11221;sens-2;Wee1;smt3;Mnn1;chm;Su(var)205;Btk29A;Chrac-14;FKBP59;Ror;Utx;Dpy-30L1;Dnz1;YL-1;esc;Patsas;kek1;CG5142;CG31730;Dyrk2;CG7094;CG5790;msl-1;drl;CG18810;Ret;CG8677;Haspin;CG17528;Nipped-A;Src42A;Br140;tor;CG30350;MrgBP;san;E(Pc);otk;CG8878;Drl-2;Nrk;Rcd1;BEAF-32;aPKC;pcs;SRPK;CG4945;Alk;inaC;Pkc53E;CG17287;Bap55;CG10931;Pcl;CG5482;FK506-bp2;hpo;CG16716;Mgat1;DMAP1;dom;Rtf1;Mes4;CG2852;CG9899;yki;enok;CG3492;egg;Pdk1;CG32845;l(3)02640;Ptp61F;GC;Cdc37;Rcd5;Dpy-30L2;Src64B;CG32238;CG32236;QC;velo;msl-3;eco;Uba2;Cbl;Gug;CG4483;Jarid2;CG8336;Naa60;E(z);JIL-1;CG6168;CG6931;CG32110;Spt20;upSET;btl;CG7768;CG12316;Pdi;brm;CG33060;Abl;CG13029;qjt;CG18233;CG18231;CG32201;CG32199;Ugt;ash1;trc;Su(z)12;Set1;CG32944;Hph;CG12147;CG2104;gpp;Taf1;Ada2b;CG15864;Art4;Art1;Fdh;Csk;CG14715;Taf12;Aos1;Art9;Art6;trx;Sdr;FK506-bp1;nsl1;Akt1;gish;htl;gwl;CG14282;psidin;PSR;Dph5;jnj;CG31108;vig2;Cad96Ca;CG5071;ball;CG5987;Moca-cyp;CG1894;Doa;CG11828;dgt1;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;CG31371;PH4alphaSG1;CG15539;CG34041;PH4alphaNE2;CG9698;CG31021;PH4alphaNE3;CG31013;Pka-C2;wts;dco;krz;Hcf;Asator;Eph;G9a;Hmt4-20;trr;wds;Parg;Tip60;MAPk-Ak2;mof;CG32732;Ost48;Dsor1;Cfp1;nej;sev;Pa1;hop;CG1578;CG2577;CG12717;hep;Set2;Tango13;tth;CG42299;CG8509;Cyp1;mbt;CG8918;Ulp1;CG12200;CoRest;e(y)3;et;CG17003
cellularization	Rab5;slam;gudu;poe;Btk29A;scat;Pen;Npc1a;me31B;porin;piwi;Prosalpha6T;yuri;Cul3;grp;Cyt-c-d;kel;EcR;Pld;didum;scra;pnut;gcl;TER94;oys;mlt;MCPH1;cnn;RhoGEF2;nsr;Cip4;Src64B;Dhc64C;blanks;Dab;Capr;nes;aux;tacc;dj;osk;Fmr1;soti;gish;kuk;Sep2;Rab11;Syx1A;Osbp;bnk;faf;heph;lva;ctp;Act5C;nullo;Chc;Mer;Cdc42;sw;Sep1
regulation of organelle organization	ebi;chinmo;cpb;Drp1;lilli;ed;CG2955;Bsg25A;Elba3;Bub1;Lam;chic;stai;sens-2;Rca1;CG31907;cdc14;Rack1;Su(var)205;Btk29A;mtsh;Pka-C1;Utx;SCAR;piwi;cana;crol;esc;Arpc1;CycE;fzy;qua;CG31802;msl-1;spir;Arpc2;step;cta;p120ctn;Nipped-B;conu;BubR1;Pld;Bap170;Eb1;dpn;Ggamma1;dila;mlt;psq;wde;Mtor;pds5;wash;cnn;cid;tum;LamC;CG8155;Sod2;RhoGEF2;Patronin;sub;stau;Pcl;CG18190;ena;cpa;Synj;Vrp1;pgc;Rtf1;CycB;Klp59D;CG9899;Ssrp;yki;gek;Pgam5-2;egg;mwh;dre4;mu2;CG11486;CycJ;dar1;pav;ago;Cip4;Src64B;Dhc64C;blanks;scny;mad2;msl-3;CG32371;pbl;Gug;nwk;Jarid2;E(z);JIL-1;CycA;RhoGAP68F;vih;sti;flr;upSET;endos;fz;Abl;CG33052;Nedd4;ash1;Mi-2;RhoBTB;trbl;knrl;kni;chb;park;Chro;tacc;ctrip;Hus1-like;asl;alphaTub84B;Ada2b;Mcm2;Cenp-C;CG8036;HP1e;dmt;hyd;alphaTub85E;tws;Tctp;Jupiter;Su(var)3-7;Abi;su(Hw);BigH1;Cp190;Atx2;msps;gish;cal1;cher;14-3-3epsilon;gwl;RhoGAP92B;Stat92E;CG15923;slmb;mod(mdg4);GABA-B-R2;Cdc16;Nup98-96;spas;Apc2;mask;polybromo;CycB3;ssh;vig2;Tnks;CG5815;Mtl;WASp;Apc;Bub3;ncd;dco;CycG;Crk;Mitf;G9a;ase;svr;Rbf;CDC45L;DAAM;trr;Ocrl;wapl;PsGEF;z;Klp3A;Zw10;Parg;spoon;mof;APC7;Moe;HP1b;nej;CG15306;dsh;hop;nod;Sec16;hep;Bap60;Myb;CycD;Rok;mthl1;rictor;Vav;CoRest;e(y)3;Cdc42;CG17003
negative regulation of developmental process	l(2)gl;lwr;erm;aop;dpp;Mad;ed;ft;lid;eya;wg;chm;mts;numb;gcm;gcm2;Pten;salm;bun;He;Su(H);esg;heix;CadN;brat;tsh;Src42A;EcR;Mob4;tor;nito;lig;eve;stj;chn;ena;hpo;Rae1;stl;enok;Ptpmeg;klar;bab1;Spn;ago;Cip4;Src64B;PGRP-LD;lark;nwk;PGRP-LA;PGRP-LF;RasGAP1;btl;Sox21a;dbo;brm;Abl;tap;Capr;polo;park;Syx7;neur;Ras85D;MED6;Fmr1;tws;Bruce;CG5214;Csk;rin;put;kibra;Sdr;mor;Akt1;Abd-B;Patr-1;cher;osa;cdi;nos;Dl;Stat92E;Rab11;slmb;Octbeta1R;sav;spas;Tsc1;crb;RASSF8;Lgr3;scrib;ro;Ser;fkh;WASp;Apc;hdc;wts;Med;ttk;krz;fuss;sdk;usp;N;raptor;bif;Bap60;hiw;Him;Ulp1;Hs3st-B;Tao;Mer
peripheral nervous system development	spen;da;Trim9;CycE;dl;EcR;Dscam1;dila;SmD3;cnn;chn;trio;Rac1;pav;vn;vvl;alphaTub67C;GlcAT-P;CycA;mirr;sens;neur;Ras85D;dmt;abd-A;repo;Dl;ttk;Eph;ac;sc;ase;egh;N;exd;Npc1b
STAT cascade	Cnot4;CycE;lig;Su(var)2-10;RanBPM;apt;ken;E(bx);Ptp61F;pzg;Stat92E;BRWD3;scrib;Diedel;Imp;hop;CycD;upd2;upd3;et;dome
sex differentiation	robo3;chinmo;aop;Rab5;dpp;mid;Lam;PDZ-GEF;eya;Wnt4;wg;Btk29A;pim;Myo31DF;salr;salm;Tor;wb;dac;scw;nito;lola;en;otk;fl(2)d;inaC;thr;ena;rib;shg;stl;ken;tsr;Dll;Pdk1;bab1;foi;SRm160;tra;Six4;TfAP-2;Scr;ftz;hyd;Hrb87F;abd-A;Abd-B;htl;fru;tin;hh;tnc;Doa;Dr;janA;Sox100B;N;Sxl;slpr;lz;sisA;dsh;hep
protein hydroxylation	CG34345;Pdi;CG18233;CG18231;CG32201;CG32199;Hph;CG15864;PSR;CG11828;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;CG31371;PH4alphaSG1;CG15539;CG34041;PH4alphaNE2;CG9698;CG31021;PH4alphaNE3;CG31013
regulation of binding	tim;Nipped-B;pds5;Hsf;fj;CycB;Ssrp;CycA;Mi-2;dgrn;gpp;Atx2;BRWD3;CycB3;ttk;Rbf;wapl;per
nucleus organization	Chd1;Bsg25D;Lam;scat;pelo;spag4;Prosalpha6T;twe;Gp210;koi;p47;wash;Iswi;LamC;Ote;Topors;LBR;Nap1;MAN1;CG42383;klar;msk;alphaTub67C;snky;polo;Mst77F;Parp;tacc;Hus1-like;HP1e;hyd;sle;jumu;Skeletor;msps;sra;kuk;Tpl94D;yem;Nlp;fs(1)Ya;Parg;ctp;dhd;wisp;Nup93-1;Nup153;CG6540;Nup205
reproductive system development	robo3;aop;Rab5;mid;Lam;PDZ-GEF;eya;Wnt4;Btk29A;pim;Myo31DF;salr;salm;Tor;wb;scw;lola;en;otk;inaC;thr;ena;rib;shg;dve;stl;ken;tsr;Dll;foi;SRm160;Six4;TfAP-2;ftz;hyd;Hrb87F;abd-A;Abd-B;htl;tin;hh;tnc;Dr;Sox100B;N;slpr;lz;dsh;hep
chromosome segregation	lwr;Rab5;oaf;Bub1;Cap-D3;SA;cdc14;mts;Pp2A-29B;aust;borr;pim;RfC38;cmet;cana;CycE;grp;glu;gammaTub37C;RanGAP;Top2;barr;Mcm10;Nipped-B;BubR1;Eb1;Incenp;san;Mtor;pds5;sca;Cap-G;cnn;cid;mars;Su(var)2-HP2;dup;tef;sub;thr;prod;Topors;CycB;Klp59C;ord;SA-2;Cdc37;RfC4;pav;Dhc64C;mad2;Mis12;eco;mtrm;Klp67A;Naa60;RasGAP1;nudE;JIL-1;CycA;vih;RecQ5;Mi-2;polo;Spc105R;chb;Rpn10;Chro;vtd;Kat60;alphaTub84B;Cenp-C;bel;dmt;alphaTub85E;tws;Mcm5;Blm;Spc25;Rrp6;spn-E;msps;cal1;nos;mod(mdg4);mats;Cdc16;spas;crb;Mink;ball;wdb;Slbp;Bub3;ncd;CG17778;Rbf;mus81;east;ph-p;wapl;Klp3A;Zw10;APC7;Trf4-1;Moe;Hmr;Klp10A;nod;bif;Top1;Rok;mei-218;CG12200;Mer
ovarian nurse cell to oocyte transport	cpb;Hsp60C;chic;Btk29A;Pen;SCAR;Nup154;qua;kel;sax;pcs;Lis-1;Khc;ena;exu;mi;Src64B;lark;Abl;cher;loco;rngo;Rok
cell recognition	robo3;tutl;mid;bchs;mmy;Pvf3;Wnt4;CG7179;Mcr;CG8668;CG44153;Trim9;SCAR;ab;Sos;Arpc1;beat-Ic;beat-Ia;beat-IIIc;CadN;drl;dpr12;esn;Dscam1;Vang;lola;stan;Drl-2;gek;Mmp1;Rac1;CG12004;Con;Dscam2;CG32373;pbl;Dscam4;Ptp69D;comm;Abl;Nedd4;tey;trc;Ten-m;nrm;Cont;kra;Fmr1;Hsc70-4;Fas1;Dscam3;fru;RhoGAP93B;tok;Fur1;Tl;eater;dsd;WASp;PlexA;CG2901;dsh;pot;NetB;acj6;RhoGAPp190;CG6867
germarium-derived egg chamber formation	Hsp60C;Btk29A;alien;Pen;piwi;Rab6;Tor;BicD;kel;del;dap;AGO1;aPKC;pcs;Lis-1;MESR4;par-1;shg;cpa;egl;armi;CycJ;enc;Cip4;Src64B;Dhc64C;nudE;CSN3;fng;chb;Hus1-like;Scm;Fmr1;Csk;jvl;nsl1;spn-E;cher;14-3-3epsilon;Dl;Stat92E;Rab11;slmb;orb;Apc2;asp;sosie;Apc;Cul5;pasha;ph-p;egh;N;Pdcd4;rngo;baz
cortical cytoskeleton organization	l(2)gl;lilli;Lam;chic;SCAR;Arpc2;scra;pnut;brp;sktl;Vrp1;CG30183;tsr;fwd;Rac1;pav;Galphai;pbl;Pi3K68D;sti;nuf;polo;Hem;Abi;btsz;Rbp;Rab11;bond;loco;Apc2;crb;WASp;bnk;RhoGAP100F;Ocrl;nullo;Moe;feo;Rab3-GEF;Rok;Cdc42
dephosphorylation	CG5556;CG15385;G6P;PpD6;Pez;eya;cdc14;CG7115;mts;Pp2A-29B;CG18662;Pten;CG17124;PRL-1;twe;CG12620;CG6380;CG10376;Phlpp;CG16771;ttm3;CG10417;CanB2;CG8584;wun2;dap;Ptp52F;EDTP;NT5E-2;CG30103;Cib2;PTP-ER;PpN58A;PpD5;Synj;CG3292;CG3264;CG11291;Pgam5-2;uri;Fcp1;ttm2;Ptpmeg;Ptp61F;CG12091;Patj;CG32488;CG17746;CG12078;CG10592;CG5150;CG5026;I-2;CG6707;CG11597;Ptp69D;CG10089;endos;mop;CG17029;CG17028;CG17027;MYPT-75D;Mkp3;CG9449;CG9451;CG9452;rdgC;CG10581;CG9389;CG11438;CG11437;CG2104;PpD3;CG5361;tws;CG31391;CG31467;CG14689;CG42327;I-t;CG31469;sra;gwl;CG14297;CG6656;Ublcp1;Pp1alpha-96A;ssh;CG6036;wdb;stg;fig;Acph-1;ocn;janA;CanA1;CycG;CG32812;Ocrl;csw;ttm50;Pp2C1;Ptp4E;CanB;PpV;CG15035;PPP4R2r;CG1637;Ptp10D;CG10352;CG14411;Pp1-13C;CG8105;CG8509;Pp2B-14D;CanA-14F;CG32568;MKP-4;CG14212;Pp4-19C;I-3;CG41106
carbohydrate transport	CG15406;CG8837;CG33281;CG33282;CG3285;CG15408;sut2;sut3;sut4;Tret1-2;CG8249;CG4797;Slc45-1;CG10960;CG1208;CG1213;CG14606;CG14605;CG31100;Glut4EF;Glut3;CG4607
cytoskeleton-dependent intracellular transport	rempA;stai;Liprin-alpha;milt;CG42366;CG5142;btv;CG15161;nompB;Mob4;pk;cos;didum;dila;Lis-1;Khc;CG7744;klar;Aplip1;Oseg4;Dhc62B;Oseg2;Girdin;pav;Dhc64C;nudE;Klp68D;Atg1;CG6652;Fmr1;CG3259;CG4525;Dlc90F;Rab1;Klp98A;Apc;gammaCOP;Kif3C;futsch;Dlic;Kap3;g;Lsd-2;sw
"regulation of gene expression, epigenetic"	Elba2;msl-2;Bsg25A;Elba3;Lam;Su(var)205;Chrac-14;pelo;me31B;piwi;Ge-1;crol;esc;nub;Sfmbt;Smg5;msl-1;Top2;Nbr;Mcm10;CG8677;BubR1;Ars2;bin3;Bap170;dpn;psq;wde;CG8878;wash;Psc;cid;fl(2)d;AGO1;CG6701;LamC;Rif1;Khc;CG6967;Bap55;lolal;Spt5;dom;ppk29;egg;Kr;scf;mu2;armi;blanks;scny;msl-3;CTCF;Unr;JIL-1;upSET;CG9425;l(3)73Ah;ash1;mael;AGO3;MTA1-like;Rm62;gpp;bel;CG8036;pum;HP1e;MBD-like;Su(var)3-7;su(Hw);BigH1;Hsc70-4;Cp190;Atx2;spn-E;Bin1;tara;Cbp20;CG6204;polybromo;Smg6;vig2;XNP;hdc;pasha;gw;pho;Hmt4-20;CDC45L;Adar;ph-d;z;Parg;Cbp80;mof;Sxl;Hsc70-3;Upf1;Usp7;Tis11;jub;CoRest;e(y)3;Hers;CG17168
neurotransmitter transport	l(2)gl;Eaat2;VGlut;GluRIIA;Fic;CG33296;CG13793;CG13794;CG13795;CG13796;Gdi;CG15279;Syx5;BicD;Sytalpha;twit;CanB2;stmA;brp;CG1698;CG8850;nemy;CG3790;Vmat;Syngr;VGAT;Ih;Arf51F;DAT;List;Synj;bw;SerT;Letm1;mth;Fife;unc-13-4A;mfr;SH3PX1;Syx13;Sytbeta;Hip14;st;blot;Syx7;Csp;Arf79F;Snap24;gammaSnap2;GC1;GC2;Hsc70-4;Rim;CG7708;VAChT;Synd;Sec15;GABA-B-R2;CASK;lqfR;prt;Syx1A;CDase;CanA1;Syt7;Syx4;w;CG10804;CanB;NAAT1;nej;Rph;cac;comt;NFAT;Rab3-GEF;Scamp;Chc;amn
regulation of anatomical structure size	Pi3K21B;chinmo;cpb;Sec24CD;dpp;lilli;ft;Lam;chic;mmy;Liprin-alpha;Pvf2;Pvf3;wg;Wnt6;Rack1;Mcr;Btk29A;Pten;SCAR;ab;Tor;kuz;Sos;Arpc1;CycE;Syx5;qua;CadN;spir;Arpc2;rl;Nipped-B;conu;EcR;pk;Vang;magu;lola;stan;wash;Lac;vg;drk;conv;LamC;Hr51;Nup62;Alk;grh;fj;sano;ena;hppy;rib;cpa;Vrp1;Ssrp;gek;Mmp1;zip;Pdk1;mwh;Rac1;Girdin;Cip4;Src64B;pbl;nwk;Ilp2;RasGAP1;crim;flr;CG10738;btl;fz;Abl;tap;RhoBTB;trbl;kkv;Ras85D;knk;Tctp;btsz;Atx2;Akt1;gish;fru;RhoGAP92B;H;Pi3K92E;AnxB9;CG10177;Nup98-96;spas;Tsc1;CHORD;ssh;tnc;Cad96Ca;Mtl;WASp;stg;Cad99C;dco;gammaCOP;ttk;RhoGAP1A;svr;Rbf;DAAM;CG12773;PsGEF;spoon;MAPk-Ak2;raptor;Erk7;rtv;dsh;bif;lic;Nup93-1;Chc;Myb;mbt;RhoGAPp190;upd3;Wnt5;Hs3st-B;rictor;Cdc42;pico
